"object_id","record_type","category","internal_name","published_name","description","source_method","source_parameters","icon_path","bundle","width","height","evidence","version_source","source_file"
"b351e63768084e4f","search_resource","dungeons","1_1_1","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_1__atlas__advancedungeon__e5a97e0fe7.png","atlas/advancedungeon.assetbundle","163","118","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"83b5706260c30181","search_resource","dungeons","1_1_10","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_10__atlas__advancedungeon__1c31af3900.png","atlas/advancedungeon.assetbundle","79","172","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"ec5ee6b21de88d11","search_resource","dungeons","1_1_11","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_11__atlas__advancedungeon__c5b235cf78.png","atlas/advancedungeon.assetbundle","60","83","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"32cf2963879c9fa8","search_resource","dungeons","1_1_12","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_12__atlas__advancedungeon__a16c31453e.png","atlas/advancedungeon.assetbundle","190","71","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"bbf4358749fcddd1","search_resource","dungeons","1_1_13","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_13__atlas__advancedungeon__bab94778d3.png","atlas/advancedungeon.assetbundle","118","189","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"15842282294d8ad9","search_resource","dungeons","1_1_14","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_14__atlas__advancedungeon__8e17e27b4e.png","atlas/advancedungeon.assetbundle","89","131","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"3b4d2c89b1fbba5a","search_resource","dungeons","1_1_15","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_15__atlas__advancedungeon__7f3a9a3f05.png","atlas/advancedungeon.assetbundle","160","146","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"7b78124493088333","search_resource","dungeons","1_1_16","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_16__atlas__advancedungeon__3fbf2b2512.png","atlas/advancedungeon.assetbundle","77","91","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"92cf4094f87a4739","search_resource","dungeons","1_1_17","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_17__atlas__advancedungeon__ff3c226bd1.png","atlas/advancedungeon.assetbundle","107","198","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"169bb3293471d356","search_resource","dungeons","1_1_18","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_18__atlas__advancedungeon__9801d0e610.png","atlas/advancedungeon.assetbundle","78","172","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"459ea3a70eee3756","search_resource","dungeons","1_1_19","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_19__atlas__advancedungeon__798f19e35b.png","atlas/advancedungeon.assetbundle","122","56","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"a7638b554c489215","search_resource","dungeons","1_1_2","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_2__atlas__advancedungeon__f2d2bd94c4.png","atlas/advancedungeon.assetbundle","89","168","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"041783e593e20049","search_resource","dungeons","1_1_3","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_3__atlas__advancedungeon__c2fb1b5f44.png","atlas/advancedungeon.assetbundle","116","128","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"39d8f4148e9ea597","search_resource","dungeons","1_1_4","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_4__atlas__advancedungeon__9eabc28d5f.png","atlas/advancedungeon.assetbundle","110","89","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"c1a55a8a1f7a5b33","search_resource","dungeons","1_1_5","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_5__atlas__advancedungeon__2e7155b133.png","atlas/advancedungeon.assetbundle","137","98","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"04c06cb3c5591077","search_resource","dungeons","1_1_6","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_6__atlas__advancedungeon__e434baa587.png","atlas/advancedungeon.assetbundle","62","184","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"3aa5f67b3204b8a5","search_resource","dungeons","1_1_7","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_7__atlas__advancedungeon__0686fdce16.png","atlas/advancedungeon.assetbundle","123","56","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"f9c348f91f1c4bce","search_resource","dungeons","1_1_8","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_8__atlas__advancedungeon__b14d6e4cb8.png","atlas/advancedungeon.assetbundle","72","197","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"257ba6f4c893b931","search_resource","dungeons","1_1_9","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/1_1_9__atlas__advancedungeon__ef28dd295c.png","atlas/advancedungeon.assetbundle","132","100","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"0cffbec52b1bf5f9","search_resource","dungeons","2_2_1","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_1__atlas__advancedungeon__acee35adf7.png","atlas/advancedungeon.assetbundle","78","105","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"cdcabf5bbe619c61","search_resource","dungeons","2_2_10","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_10__atlas__advancedungeon__8072cfd71d.png","atlas/advancedungeon.assetbundle","100","131","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"8cabad929531f0db","search_resource","dungeons","2_2_11","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_11__atlas__advancedungeon__9ea99429ac.png","atlas/advancedungeon.assetbundle","150","70","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"89477a22bd51d20f","search_resource","dungeons","2_2_12","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_12__atlas__advancedungeon__2f02d0c1a4.png","atlas/advancedungeon.assetbundle","49","100","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"7bf56473e4a6a9b2","search_resource","dungeons","2_2_13","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_13__atlas__advancedungeon__94937c9884.png","atlas/advancedungeon.assetbundle","75","146","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"8cb0f4085b9b9168","search_resource","dungeons","2_2_14","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_14__atlas__advancedungeon__b61531add0.png","atlas/advancedungeon.assetbundle","161","73","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"593cdf217c2715b8","search_resource","dungeons","2_2_15","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_15__atlas__advancedungeon__4f27c0685e.png","atlas/advancedungeon.assetbundle","49","86","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"4ac082e9fe171fce","search_resource","dungeons","2_2_16","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_16__atlas__advancedungeon__2e9d0a6e3d.png","atlas/advancedungeon.assetbundle","99","255","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"7eedb0f6396e019b","search_resource","dungeons","2_2_17","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_17__atlas__advancedungeon__f5b017a2d9.png","atlas/advancedungeon.assetbundle","136","78","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"33f9639b6a715df4","search_resource","dungeons","2_2_18","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_18__atlas__advancedungeon__58bf4f4c17.png","atlas/advancedungeon.assetbundle","65","146","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"1531f27d1bce7896","search_resource","dungeons","2_2_19","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_19__atlas__advancedungeon__c3a4fac357.png","atlas/advancedungeon.assetbundle","140","71","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"a57077bc17c78f64","search_resource","dungeons","2_2_2","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_2__atlas__advancedungeon__7e0dcd04b0.png","atlas/advancedungeon.assetbundle","91","158","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
"dc3f2b38d05786b1","search_resource","dungeons","2_2_3","","","Mazmorras y actividades","","analisis/catalogos/contact-sheets/2_2_3__atlas__advancedungeon__31a6363608.png","atlas/advancedungeon.assetbundle","100","74","True","Google Play LDPlayer","analisis/catalogos/object-search-database.csv"
