"menu_id","entry_type","section","category","subcategory","entry_name","entry_count","source_file","bundle","bytes","version_source","evidence"
"menu-7a132963f855e591","logic_entry","Alliance-PvP","Alliance-PvP","","ActiNationWarTargetPanel","1","analisis/system-map/system-map.csv","logic/lua_logic_5.assetbundle","7655","Google Play LDPlayer","extraÃ­do del cliente"
"menu-40d7648730494e1f","logic_entry","Alliance-PvP","Alliance-PvP","","ActiRewardPreviewText","1","analisis/system-map/system-map.csv","logic/lua_logic_5.assetbundle","5324","Google Play LDPlayer","extraÃ­do del cliente"
"menu-a663244973373ca2","logic_entry","Alliance-PvP","Alliance-PvP","","AFireActivePassAwardView","1","analisis/system-map/system-map.csv","logic/lua_logic_5.assetbundle","5082","Google Play LDPlayer","extraÃ­do del cliente"
"menu-070e708c041da96a","logic_entry","Alliance-PvP","Alliance-PvP","","AFireTimeAward","1","analisis/system-map/system-map.csv","logic/lua_logic_5.assetbundle","2750","Google Play LDPlayer","extraÃ­do del cliente"
"menu-2ebf343908d41962","logic_entry","Alliance-PvP","Alliance-PvP","","AFireTreasureAwardView","1","analisis/system-map/system-map.csv","logic/lua_logic_5.assetbundle","2703","Google Play LDPlayer","extraÃ­do del cliente"
"menu-d37c180e8b92b926","logic_entry","Alliance-PvP","Alliance-PvP","","AFireTreasureAwardView2","1","analisis/system-map/system-map.csv","logic/lua_logic_5.assetbundle","3153","Google Play LDPlayer","extraÃ­do del cliente"
"menu-057657b17b0ee3dc","logic_entry","Alliance-PvP","Alliance-PvP","","AlertAwardCommonView","1","analisis/system-map/system-map.csv","logic/lua_logic_all.assetbundle","3104","Google Play LDPlayer","extraÃ­do del cliente"
"menu-d1ebfb709baf5daf","logic_entry","Alliance-PvP","Alliance-PvP","","AlertAwardView","1","analisis/system-map/system-map.csv","logic/lua_logic_all.assetbundle","2838","Google Play LDPlayer","extraÃ­do del cliente"
"menu-8b6f2df087ac37e6","logic_entry","Alliance-PvP","Alliance-PvP","","AlertAwardView2","1","analisis/system-map/system-map.csv","logic/lua_logic_all.assetbundle","2855","Google Play LDPlayer","extraÃ­do del cliente"
"menu-0e2daef0eb6d16ee","logic_entry","Alliance-PvP","Alliance-PvP","","AmusementAwardTipsView","1","analisis/system-map/system-map.csv","logic/lua_logic_5.assetbundle","1926","Google Play LDPlayer","extraÃ­do del cliente"
"menu-24089030985f761a","logic_entry","Alliance-PvP","Alliance-PvP","","AnniCeleRankRewardView","1","analisis/system-map/system-map.csv","logic/lua_logic_5.assetbundle","2534","Google Play LDPlayer","extraÃ­do del cliente"
