"id","recurso","bundle","textura_origen","imagen","estado"
"0301","artresourcesv2/ui/texture/goods/0301","ui/texture_v2/goods/goods_4_03.assetbundle","0301__53b3e77cee__-7040301899917239223.png","assets/images/items/client-icons/0301.png","copiada_desde_texture2d"
"0302","artresourcesv2/ui/texture/goods/0302","ui/texture_v2/goods/goods_4_03.assetbundle","0302__53b3e77cee__3072136111295436676.png","assets/images/items/client-icons/0302.png","copiada_desde_texture2d"
"0303","artresourcesv2/ui/texture/goods/0303","ui/texture_v2/goods/goods_4_03.assetbundle","0303__53b3e77cee__-928326837276579199.png","assets/images/items/client-icons/0303.png","copiada_desde_texture2d"
"0304","artresourcesv2/ui/texture/goods/0304","ui/texture_v2/goods/goods_4_03.assetbundle","0304__53b3e77cee__-1228620067399156593.png","assets/images/items/client-icons/0304.png","copiada_desde_texture2d"
"0305","artresourcesv2/ui/texture/goods/0305","ui/texture_v2/goods/goods_4_03.assetbundle","0305__53b3e77cee__1887148082105432501.png","assets/images/items/client-icons/0305.png","copiada_desde_texture2d"
"0306","artresourcesv2/ui/texture/goods/0306","ui/texture_v2/goods/goods_4_03.assetbundle","0306__53b3e77cee__-4763965863933671741.png","assets/images/items/client-icons/0306.png","copiada_desde_texture2d"
"0307","artresourcesv2/ui/texture/goods/0307","ui/texture_v2/goods/goods_4_03.assetbundle","0307__53b3e77cee__-4372252704000955602.png","assets/images/items/client-icons/0307.png","copiada_desde_texture2d"
"0308","artresourcesv2/ui/texture/goods/0308","ui/texture_v2/goods/goods_4_03.assetbundle","0308__53b3e77cee__-1641012648062674891.png","assets/images/items/client-icons/0308.png","copiada_desde_texture2d"
"0309","artresourcesv2/ui/texture/goods/0309","ui/texture_v2/goods/goods_4_03.assetbundle","0309__53b3e77cee__2677759401211528455.png","assets/images/items/client-icons/0309.png","copiada_desde_texture2d"
"0310","artresourcesv2/ui/texture/goods/0310","ui/texture_v2/goods/goods_4_03.assetbundle","0310__53b3e77cee__6539216249078929137.png","assets/images/items/client-icons/0310.png","copiada_desde_texture2d"
"0311","artresourcesv2/ui/texture/goods/0311","ui/texture_v2/goods/goods_4_03.assetbundle","0311__53b3e77cee__-7389035209047859041.png","assets/images/items/client-icons/0311.png","copiada_desde_texture2d"
"0312","artresourcesv2/ui/texture/goods/0312","ui/texture_v2/goods/goods_4_03.assetbundle","0312__53b3e77cee__977273019121049043.png","assets/images/items/client-icons/0312.png","copiada_desde_texture2d"
"0313","artresourcesv2/ui/texture/goods/0313","ui/texture_v2/goods/goods_4_03.assetbundle","0313__53b3e77cee__3350445572944064294.png","assets/images/items/client-icons/0313.png","copiada_desde_texture2d"
"0401","artresourcesv2/ui/texture/goods/0401","ui/texture_v2/goods/goods_4_04.assetbundle","0401__4904064a62__3780600353652759610.png","assets/images/items/client-icons/0401.png","copiada_desde_texture2d"
"0402","artresourcesv2/ui/texture/goods/0402","ui/texture_v2/goods/goods_4_04.assetbundle","0402__4904064a62__7231668707236511194.png","assets/images/items/client-icons/0402.png","copiada_desde_texture2d"
"0403","artresourcesv2/ui/texture/goods/0403","ui/texture_v2/goods/goods_4_04.assetbundle","0403__4904064a62__-7012296076828208441.png","assets/images/items/client-icons/0403.png","copiada_desde_texture2d"
"0404","artresourcesv2/ui/texture/goods/0404","ui/texture_v2/goods/goods_4_04.assetbundle","0404__4904064a62__1374618419749434423.png","assets/images/items/client-icons/0404.png","copiada_desde_texture2d"
"0405","artresourcesv2/ui/texture/goods/0405","ui/texture_v2/goods/goods_4_04.assetbundle","0405__4904064a62__-4046702741781370409.png","assets/images/items/client-icons/0405.png","copiada_desde_texture2d"
"0406","artresourcesv2/ui/texture/goods/0406","ui/texture_v2/goods/goods_4_04.assetbundle","0406__4904064a62__753963405046040131.png","assets/images/items/client-icons/0406.png","copiada_desde_texture2d"
"0407","artresourcesv2/ui/texture/goods/0407","ui/texture_v2/goods/goods_4_04.assetbundle","0407__4904064a62__3170797378011840369.png","assets/images/items/client-icons/0407.png","copiada_desde_texture2d"
"0408","artresourcesv2/ui/texture/goods/0408","ui/texture_v2/goods/goods_4_04.assetbundle","0408__4904064a62__-7898888298502466679.png","assets/images/items/client-icons/0408.png","copiada_desde_texture2d"
"0409","artresourcesv2/ui/texture/goods/0409","ui/texture_v2/goods/goods_4_04.assetbundle","0409__4904064a62__856815350716365250.png","assets/images/items/client-icons/0409.png","copiada_desde_texture2d"
"0410","artresourcesv2/ui/texture/goods/0410","ui/texture_v2/goods/goods_4_04.assetbundle","0410__4904064a62__-8711939784196753562.png","assets/images/items/client-icons/0410.png","copiada_desde_texture2d"
"0411","artresourcesv2/ui/texture/goods/0411","ui/texture_v2/goods/goods_4_04.assetbundle","0411__4904064a62__5428675769014233943.png","assets/images/items/client-icons/0411.png","copiada_desde_texture2d"
"0412","artresourcesv2/ui/texture/goods/0412","ui/texture_v2/goods/goods_4_04.assetbundle","0412__4904064a62__4672160620239496073.png","assets/images/items/client-icons/0412.png","copiada_desde_texture2d"
"0413","artresourcesv2/ui/texture/goods/0413","ui/texture_v2/goods/goods_4_04.assetbundle","0413__4904064a62__-971763304978039600.png","assets/images/items/client-icons/0413.png","copiada_desde_texture2d"
"0501","artresourcesv2/ui/texture/goods/0501","ui/texture_v2/goods/goods_4_05.assetbundle","0501__e1b03ccff5__-7129840773296655610.png","assets/images/items/client-icons/0501.png","copiada_desde_texture2d"
"0502","artresourcesv2/ui/texture/goods/0502","ui/texture_v2/goods/goods_4_05.assetbundle","0502__e1b03ccff5__6906410730120198648.png","assets/images/items/client-icons/0502.png","copiada_desde_texture2d"
"0503","artresourcesv2/ui/texture/goods/0503","ui/texture_v2/goods/goods_4_05.assetbundle","0503__e1b03ccff5__2145750793747567790.png","assets/images/items/client-icons/0503.png","copiada_desde_texture2d"
"0504","artresourcesv2/ui/texture/goods/0504","ui/texture_v2/goods/goods_4_05.assetbundle","0504__e1b03ccff5__7150127197483057129.png","assets/images/items/client-icons/0504.png","copiada_desde_texture2d"
"0505","artresourcesv2/ui/texture/goods/0505","ui/texture_v2/goods/goods_4_05.assetbundle","0505__e1b03ccff5__1890272015874366072.png","assets/images/items/client-icons/0505.png","copiada_desde_texture2d"
"0506","artresourcesv2/ui/texture/goods/0506","ui/texture_v2/goods/goods_4_05.assetbundle","0506__e1b03ccff5__8036639169087007385.png","assets/images/items/client-icons/0506.png","copiada_desde_texture2d"
"0507","artresourcesv2/ui/texture/goods/0507","ui/texture_v2/goods/goods_4_05.assetbundle","0507__e1b03ccff5__-4285602575446268807.png","assets/images/items/client-icons/0507.png","copiada_desde_texture2d"
"0508","artresourcesv2/ui/texture/goods/0508","ui/texture_v2/goods/goods_4_05.assetbundle","0508__e1b03ccff5__-6552439566484378800.png","assets/images/items/client-icons/0508.png","copiada_desde_texture2d"
"0509","artresourcesv2/ui/texture/goods/0509","ui/texture_v2/goods/goods_4_05.assetbundle","0509__e1b03ccff5__-712930050498821126.png","assets/images/items/client-icons/0509.png","copiada_desde_texture2d"
"0510","artresourcesv2/ui/texture/goods/0510","ui/texture_v2/goods/goods_4_05.assetbundle","0510__e1b03ccff5__7727458721976225634.png","assets/images/items/client-icons/0510.png","copiada_desde_texture2d"
"0511","artresourcesv2/ui/texture/goods/0511","ui/texture_v2/goods/goods_4_05.assetbundle","0511__e1b03ccff5__2859845315778696921.png","assets/images/items/client-icons/0511.png","copiada_desde_texture2d"
