"id","nombre","descripcion","go_to","source_names","source_match_count","icono","keywords","nombre_estado","descripcion_estado","fuente"
"30060001","A Bag of Gold Coins","Use to activate Big Spender Title -","10","","0","assets/images/game-data/goods/30060001.png","bag | gold | coins | use | activate | big | spender | title","extraido","extraida","goods-items-index.csv"
"45061036","Advanced","","6025","","0","assets/images/game-data/goods/45061036.png","advanced","extraido","faltante","goods-items-index.csv"
"45061339","Advanced","","6025","","0","assets/images/game-data/goods/45061339.png","advanced","extraido","faltante","goods-items-index.csv"
"45061340","Advanced","","6025","","0","assets/images/game-data/goods/45061340.png","advanced","extraido","faltante","goods-items-index.csv"
"45061341","Advanced","","6025","","0","assets/images/game-data/goods/45061341.png","advanced","extraido","faltante","goods-items-index.csv"
"45061342","Advanced","","6025","","0","assets/images/game-data/goods/45061342.png","advanced","extraido","faltante","goods-items-index.csv"
"30450006","Advanced Souvenir","Will be deleted after the event series ends. - TA Regular Souvenir. Using it during a feast grants both sides Feast Points","7114","","0","assets/images/game-data/goods/30450006.png","advanced | souvenir | will | deleted | after | the | event | series | ends | regular | using | during | feast | grants | both | sides | points","extraido","extraida","goods-items-index.csv"
"48180002","Aether Realm","","0","Activeness Chest | Activeness Pass | Alliance Beast | Alliance Pass | Ancient Vein | Antique | Arcadia Search | Archive Jump ID | Arena Points Chest | Array System | Attire Competition | Ball Present | Celestial Realm | Compass | Contest Deal | Customize Title | Daily Pack | Daily Rebate | Daily Spending | Daily Top-Up | Divine Compass | Divinity System | Dragon Treasure | Drakefire Legacy | Exchange Store | Expedition | Extreme Challenge | Fairyland Escort | Fairyland Quest | Fairyland Trade | Find NPC | First Top-Up | Fishing | Fishing Interface | Five Spirits Demon Seal | Fortune Deluxe Gift | Fortune Voucher | Free Deal | Friend | Friend's Gift | Fund Investment | Fuse | Gear Awakening | Glyph | Godsend System | Guild Chest | Guild Renaming | Holyweapon Descent | icon | Immortal Trial | Level Rewards | Loot Crate Opening | Lucky Freebie | Lucky Smash Egg | Mandate | Mandate Appraisal | Maze Treasure Search | Merit Chest | Mine Expedition | Mirage Arcadia | Monthly Card Weekly Card | New Server Co-buy | New Server Goal | Noah Vault | Northern Abyss | Number Collection Draw | Official's Salary | Path of Growth | Phoenix Feather Treasure | Point Master | Realm Clash | Road to Immortal | Rune Chest | Rune Crafting | Sacred Mountain Realm | Sea Palace Arcadia | Server Treasure Search | Single Top-Up Rebate | Skill System | Snow Exploration | Soul System | Spending Contest | Spirit Awakening | Spirit Clash | Spirit Root Fuse | Spirit Root System | Spirit Spring Trove | Technique | Technique DTC | Time Adventure | Time Arcadia | Time Realm | Timeforge Trial | Total Top-Up | Treasure Hunt | Trinket System | type | Verdure Shrine | Warrior's Challenge | Wishing Tower | Xenobeast","101","assets/images/game-data/goods/48180002.png","aether | realm","extraido","faltante","goods-items-index.csv"
"42014301","Alkaid Archive","Used to activate or improve Archive - Mercury","9001","","0","assets/images/game-data/goods/42014301.png","alkaid | archive | used | activate | improve | mercury","extraido","extraida","goods-items-index.csv"
"46022074","Ancient Qiongqi","","6055","","0","assets/images/game-data/goods/46022074.png","ancient | qiongqi","extraido","faltante","goods-items-index.csv"
"42010001","Archive Essence","","6027","","0","assets/images/game-data/goods/42010001.png","archive | essence","extraido","faltante","goods-items-index.csv"
"46140058","Armored Devourer","","7008","","0","assets/images/game-data/goods/46140058.png","armored | devourer","extraido","faltante","goods-items-index.csv"
"46070026","Armored Flyblade","","7008","","0","assets/images/game-data/goods/46070026.png","armored | flyblade","extraido","faltante","goods-items-index.csv"
"30400026","Artifact Item","","7102","","0","assets/images/game-data/goods/30400026.png","artifact | item","extraido","faltante","goods-items-index.csv"
"30400028","Artifact Item","","7102","","0","assets/images/game-data/goods/30400028.png","artifact | item","extraido","faltante","goods-items-index.csv"
"69030002","Aura Crystalline","A required Crystalline for training supreme Techniques; used for Technique Cultivation","7052","","0","assets/images/game-data/goods/69030002.png","aura | crystalline | required | for | training | supreme | techniques | used | technique | cultivation","extraido","extraida","goods-items-index.csv"
"42019116","Autumn Equinox Archive","Used to activate or improve Archive - White Dew","9001","","0","assets/images/game-data/goods/42019116.png","autumn | equinox | archive | used | activate | improve | white | dew","extraido","extraida","goods-items-index.csv"
"46052163","Autumn's Reflection - Emerald","","6058","","0","assets/images/game-data/goods/46052163.png","autumn | reflection | emerald","extraido","faltante","goods-items-index.csv"
"46054163","Autumn's Reflection - Ethereal","","6058","","0","assets/images/game-data/goods/46054163.png","autumn | reflection | ethereal","extraido","faltante","goods-items-index.csv"
"46053163","Autumn's Reflection - Green","","6058","","0","assets/images/game-data/goods/46053163.png","autumn | reflection | green","extraido","faltante","goods-items-index.csv"
"46051163","Autumn's Reflection - Nostalgia","","6058","","0","assets/images/game-data/goods/46051163.png","autumn | reflection | nostalgia","extraido","faltante","goods-items-index.csv"
"46055163","Autumn's Reflection - Rouge","","6058","","0","assets/images/game-data/goods/46055163.png","autumn | reflection | rouge","extraido","faltante","goods-items-index.csv"
"46140049","Autumn's Sigh","","7008","","0","assets/images/game-data/goods/46140049.png","autumn | sigh","extraido","faltante","goods-items-index.csv"
"42019103","Awakening of Insects Archive","Used to activate or improve Archive - Rain Water","9001","","0","assets/images/game-data/goods/42019103.png","awakening | insects | archive | used | activate | improve | rain | water","extraido","extraida","goods-items-index.csv"
"46080022","Azure Crest","","7010","","0","assets/images/game-data/goods/46080022.png","azure | crest","extraido","faltante","goods-items-index.csv"
"46051077","Azure Fishshade - Emerald","","6058","","0","assets/images/game-data/goods/46051077.png","azure | fishshade | emerald","extraido","faltante","goods-items-index.csv"
"46051080","Azure Fishshade - Ethereal","","6058","","0","assets/images/game-data/goods/46051080.png","azure | fishshade | ethereal","extraido","faltante","goods-items-index.csv"
"46051081","Azure Fishshade - Green","","6058","","0","assets/images/game-data/goods/46051081.png","azure | fishshade | green","extraido","faltante","goods-items-index.csv"
